match_id,friendly_picks,enemy_picks,bans,win_rate
1036,"[22, 10, 8, 25, 5]","[19, 1, 6, 14, 13]","[16, 23, 3, 27, 26, 21]",0.5236
1037,"[23, 25, 28, 10, 1]","[26, 5, 6, 17, 14]","[27, 22, 30, 21, 19, 4]",0.6863
1038,"[9, 28, 1, 29, 25]","[5, 22, 12, 27, 3]","[20, 8, 6, 21, 26, 23]",0.5596
1039,"[27, 21, 22, 29, 7]","[30, 5, 20, 17, 11]","[9, 14, 13, 6, 3, 28]",0.6204
1040,"[9, 19, 14, 12, 20]","[6, 11, 21, 1, 4]","[17, 25, 30, 15, 29, 16]",0.6288
1041,"[11, 23, 26, 24, 28]","[17, 2, 20, 27, 30]","[29, 19, 3, 9, 14, 8]",0.5148
1042,"[19, 11, 9, 13, 28]","[24, 7, 20, 27, 18]","[30, 25, 22, 2, 1, 26]",0.6126
1043,"[10, 5, 23, 26, 4]","[11, 22, 30, 15, 7]","[25, 29, 16, 1, 28, 12]",0.5349
1044,"[10, 1, 24, 11, 25]","[7, 29, 15, 21, 14]","[27, 19, 20, 3, 4, 12]",0.6063
1045,"[21, 15, 23, 12, 24]","[4, 27, 9, 28, 6]","[16, 13, 25, 17, 10, 29]",0.616
1046,"[26, 24, 28, 10, 6]","[9, 14, 8, 27, 20]","[17, 15, 1, 2, 23, 16]",0.6072
1047,"[11, 19, 28, 4, 16]","[5, 12, 24, 6, 3]","[22, 13, 15, 25, 30, 2]",0.6323
1048,"[11, 27, 22, 30, 9]","[19, 4, 26, 14, 6]","[1, 3, 7, 23, 2, 21]",0.6611
1049,"[10, 21, 15, 6, 27]","[2, 17, 4, 13, 11]","[28, 23, 16, 25, 22, 30]",0.5635
1050,"[17, 14, 3, 4, 18]","[27, 12, 16, 2, 19]","[11, 1, 10, 9, 8, 20]",0.6629
1051,"[12, 10, 25, 17, 21]","[28, 6, 27, 18, 7]","[8, 5, 26, 11, 2, 20]",0.5715
1052,"[6, 7, 17, 29, 25]","[22, 20, 14, 30, 5]","[13, 4, 15, 27, 28, 2]",0.7274
1053,"[22, 15, 18, 5, 25]","[23, 10, 13, 27, 12]","[21, 14, 17, 7, 2, 19]",0.6918
1054,"[27, 26, 30, 17, 1]","[16, 23, 6, 22, 5]","[2, 9, 14, 3, 8, 28]",0.576
1055,"[2, 29, 28, 4, 26]","[30, 24, 17, 7, 20]","[3, 9, 6, 21, 10, 1]",0.5718
1056,"[2, 9, 3, 17, 24]","[14, 4, 27, 30, 20]","[5, 8, 13, 1, 23, 16]",0.6076
1057,"[3, 18, 23, 20, 22]","[6, 11, 24, 25, 10]","[26, 29, 5, 30, 15, 16]",0.5539
1058,"[17, 15, 11, 7, 13]","[10, 20, 12, 6, 9]","[18, 14, 24, 2, 27, 23]",0.5753
1059,"[20, 17, 30, 7, 21]","[23, 27, 3, 11, 18]","[25, 22, 5, 2, 19, 10]",0.6319
1060,"[23, 30, 5, 7, 18]","[8, 9, 17, 22, 2]","[25, 20, 1, 10, 6, 29]",0.7085
1061,"[5, 22, 17, 26, 1]","[18, 23, 30, 4, 24]","[20, 12, 8, 15, 25, 3]",0.6789
1062,"[10, 21, 5, 14, 28]","[23, 20, 15, 30, 7]","[25, 22, 27, 18, 1, 17]",0.6726
1063,"[14, 13, 9, 17, 15]","[5, 26, 28, 1, 4]","[25, 16, 3, 24, 2, 29]",0.647
1064,"[10, 11, 19, 6, 2]","[3, 9, 8, 13, 25]","[28, 4, 1, 18, 12, 22]",0.6717
1065,"[13, 9, 2, 12, 3]","[26, 18, 23, 28, 24]","[30, 17, 6, 16, 19, 15]",0.6196
1066,"[15, 4, 17, 19, 22]","[26, 6, 3, 7, 1]","[16, 23, 9, 2, 11, 27]",0.6566
1067,"[3, 27, 6, 29, 5]","[24, 4, 7, 8, 26]","[22, 14, 1, 13, 21, 28]",0.5279
1068,"[30, 10, 14, 17, 8]","[25, 9, 12, 20, 29]","[15, 16, 27, 26, 21, 4]",0.5936
1069,"[10, 8, 12, 13, 26]","[24, 19, 25, 14, 7]","[1, 2, 30, 11, 15, 29]",0.6523
1070,"[5, 11, 9, 23, 19]","[7, 30, 29, 14, 27]","[28, 15, 16, 3, 18, 4]",0.7117
1071,"[23, 17, 25, 24, 20]","[7, 18, 26, 9, 14]","[4, 19, 21, 15, 2, 28]",0.6597
1072,"[19, 23, 10, 14, 5]","[26, 16, 8, 18, 27]","[11, 28, 17, 1, 2, 12]",0.7235
1073,"[13, 4, 9, 20, 6]","[15, 25, 5, 28, 12]","[16, 27, 30, 10, 2, 19]",0.5145
1074,"[25, 30, 2, 1, 21]","[22, 15, 4, 29, 28]","[6, 19, 11, 10, 7, 14]",0.5405
1075,"[12, 18, 5, 22, 9]","[11, 7, 28, 2, 16]","[24, 17, 21, 30, 13, 23]",0.6775
1076,"[18, 10, 21, 26, 6]","[1, 15, 30, 29, 11]","[27, 24, 22, 25, 20, 2]",0.5878
1077,"[4, 17, 24, 30, 20]","[1, 7, 21, 26, 11]","[27, 15, 19, 9, 14, 25]",0.6284
1078,"[21, 15, 24, 17, 2]","[3, 13, 8, 28, 4]","[12, 19, 1, 16, 29, 23]",0.5202
1079,"[13, 4, 29, 23, 15]","[3, 25, 16, 5, 12]","[30, 17, 18, 20, 22, 9]",0.6465
1080,"[29, 6, 25, 9, 18]","[5, 13, 30, 16, 20]","[21, 14, 24, 10, 27, 8]",0.6014
1081,"[11, 28, 16, 29, 8]","[14, 20, 13, 7, 30]","[17, 10, 27, 26, 18, 22]",0.6759
1082,"[29, 11, 23, 20, 1]","[22, 24, 18, 15, 14]","[3, 30, 4, 5, 27, 9]",0.6449
1083,"[7, 19, 1, 10, 24]","[20, 17, 9, 2, 25]","[13, 29, 8, 12, 18, 11]",0.6676
1084,"[28, 7, 29, 8, 9]","[1, 14, 24, 22, 30]","[13, 5, 4, 12, 6, 10]",0.5522
1085,"[20, 2, 3, 22, 23]","[28, 25, 5, 13, 21]","[10, 27, 8, 12, 16, 14]",0.6376
1086,"[6, 17, 25, 8, 30]","[24, 3, 11, 22, 7]","[10, 29, 4, 2, 9, 27]",0.5704
1087,"[16, 19, 1, 9, 29]","[30, 18, 23, 22, 4]","[20, 17, 27, 28, 11, 13]",0.6745
1088,"[15, 5, 29, 2, 23]","[18, 16, 24, 21, 25]","[19, 4, 1, 8, 9, 11]",0.5936
1089,"[13, 15, 21, 10, 5]","[2, 9, 1, 22, 23]","[29, 11, 4, 12, 19, 17]",0.5283
1090,"[11, 12, 6, 22, 1]","[23, 15, 3, 25, 24]","[5, 9, 14, 13, 8, 17]",0.6162
1091,"[26, 17, 23, 15, 7]","[30, 22, 1, 24, 16]","[5, 6, 11, 4, 10, 27]",0.6409
1092,"[19, 26, 10, 22, 16]","[12, 13, 4, 24, 18]","[2, 1, 20, 17, 30, 25]",0.5927
1093,"[15, 6, 8, 28, 14]","[10, 19, 5, 24, 2]","[9, 29, 27, 20, 26, 3]",0.6705
1094,"[25, 21, 26, 24, 15]","[5, 30, 27, 3, 17]","[28, 11, 12, 19, 20, 13]",0.6448
1095,"[13, 25, 16, 8, 12]","[10, 7, 19, 5, 21]","[4, 23, 2, 20, 22, 1]",0.7142
1096,"[8, 26, 19, 13, 17]","[1, 28, 18, 12, 21]","[14, 9, 29, 6, 30, 4]",0.6396
1097,"[9, 11, 24, 29, 20]","[14, 8, 2, 21, 26]","[28, 19, 18, 13, 6, 5]",0.6309
1098,"[22, 7, 16, 11, 19]","[21, 8, 20, 14, 12]","[3, 10, 4, 28, 5, 26]",0.7206
1099,"[28, 9, 17, 3, 18]","[15, 29, 23, 24, 30]","[4, 1, 7, 22, 25, 16]",0.706
1100,"[11, 27, 8, 28, 1]","[25, 24, 12, 9, 29]","[22, 30, 13, 21, 10, 3]",0.5432
1101,"[13, 27, 12, 10, 2]","[17, 20, 15, 23, 21]","[7, 11, 25, 8, 4, 6]",0.4838
1102,"[6, 28, 20, 27, 4]","[7, 9, 1, 25, 15]","[18, 8, 22, 16, 2, 5]",0.5147
1103,"[29, 10, 25, 15, 20]","[12, 2, 19, 30, 21]","[24, 4, 14, 13, 16, 6]",0.6358
1104,"[5, 27, 14, 28, 2]","[3, 7, 24, 15, 6]","[10, 16, 30, 21, 20, 1]",0.6288
1105,"[30, 1, 20, 14, 19]","[18, 12, 21, 29, 9]","[2, 4, 17, 25, 16, 26]",0.7164
1106,"[13, 12, 18, 6, 8]","[1, 4, 23, 16, 21]","[14, 17, 3, 2, 15, 26]",0.6057
1107,"[4, 10, 12, 3, 15]","[18, 16, 22, 7, 5]","[1, 17, 9, 13, 25, 11]",0.5692
1108,"[24, 13, 17, 15, 3]","[28, 11, 27, 23, 1]","[20, 7, 30, 5, 2, 25]",0.5364
1109,"[8, 19, 1, 26, 3]","[6, 2, 12, 27, 25]","[17, 4, 20, 11, 23, 22]",0.7055
1110,"[5, 6, 23, 15, 22]","[16, 19, 21, 26, 25]","[12, 17, 2, 3, 24, 7]",0.6523
1111,"[5, 12, 3, 27, 28]","[26, 24, 7, 15, 23]","[13, 2, 10, 22, 1, 16]",0.4997
1112,"[24, 21, 3, 22, 2]","[13, 26, 14, 7, 19]","[28, 16, 30, 9, 4, 15]",0.5783
1113,"[10, 29, 4, 14, 23]","[2, 3, 9, 17, 1]","[7, 13, 6, 15, 27, 25]",0.6733
1114,"[10, 15, 3, 18, 2]","[21, 22, 16, 8, 6]","[25, 1, 23, 26, 5, 20]",0.6249
1115,"[14, 20, 29, 25, 15]","[3, 28, 19, 21, 17]","[12, 24, 6, 18, 9, 11]",0.7385
1116,"[20, 19, 7, 15, 11]","[3, 12, 9, 14, 21]","[28, 23, 29, 2, 18, 27]",0.6474
1117,"[16, 27, 3, 20, 15]","[19, 29, 17, 8, 11]","[14, 12, 1, 26, 24, 22]",0.5466
1118,"[2, 7, 25, 5, 22]","[11, 16, 10, 3, 24]","[13, 28, 27, 17, 19, 30]",0.5142
1119,"[8, 5, 28, 6, 14]","[17, 22, 26, 30, 20]","[23, 21, 29, 3, 16, 10]",0.6934
1120,"[30, 20, 18, 3, 11]","[26, 9, 4, 7, 12]","[13, 16, 27, 5, 22, 6]",0.6319
1121,"[3, 11, 4, 13, 7]","[10, 28, 30, 26, 27]","[1, 19, 17, 5, 24, 25]",0.5451
1122,"[21, 11, 2, 14, 19]","[7, 17, 22, 13, 6]","[1, 3, 4, 26, 12, 16]",0.6448
1123,"[22, 19, 4, 7, 13]","[24, 8, 29, 25, 30]","[20, 10, 2, 28, 5, 3]",0.7078
1124,"[8, 4, 13, 27, 16]","[10, 28, 6, 21, 3]","[26, 15, 17, 7, 9, 12]",0.5319
1125,"[12, 29, 13, 27, 4]","[1, 14, 8, 26, 18]","[19, 16, 21, 23, 10, 25]",0.522
1126,"[19, 27, 25, 17, 14]","[13, 21, 1, 3, 9]","[15, 2, 10, 12, 23, 11]",0.6087
1127,"[28, 15, 5, 1, 21]","[4, 12, 2, 25, 19]","[9, 22, 23, 20, 29, 10]",0.6658
1128,"[11, 18, 28, 25, 27]","[15, 22, 20, 17, 29]","[10, 14, 9, 1, 3, 19]",0.7025
1129,"[18, 19, 16, 10, 24]","[17, 20, 1, 6, 5]","[11, 29, 9, 4, 22, 15]",0.6287
1130,"[20, 21, 26, 12, 25]","[14, 19, 28, 8, 4]","[5, 9, 10, 16, 22, 24]",0.5406
1131,"[5, 20, 16, 10, 21]","[2, 22, 9, 24, 30]","[12, 6, 25, 28, 29, 27]",0.6784
1132,"[11, 30, 17, 23, 26]","[6, 13, 8, 7, 20]","[25, 19, 4, 16, 24, 3]",0.6855
1133,"[12, 25, 29, 5, 19]","[10, 17, 6, 22, 18]","[4, 14, 15, 11, 20, 2]",0.6692
1134,"[29, 7, 17, 3, 27]","[2, 21, 20, 26, 25]","[28, 22, 11, 5, 12, 13]",0.61
1135,"[5, 28, 17, 9, 13]","[3, 27, 6, 2, 21]","[18, 25, 23, 26, 29, 19]",0.6102
1136,"[13, 17, 28, 8, 23]","[22, 2, 6, 29, 19]","[5, 4, 20, 30, 21, 25]",0.5566
1137,"[14, 3, 20, 11, 12]","[9, 6, 18, 27, 21]","[23, 7, 26, 1, 4, 15]",0.6078
1138,"[7, 6, 15, 26, 13]","[22, 8, 12, 28, 5]","[3, 21, 16, 9, 14, 20]",0.5539
1139,"[20, 10, 28, 3, 16]","[18, 11, 21, 17, 22]","[4, 6, 29, 25, 14, 23]",0.5504
1140,"[12, 18, 22, 1, 16]","[19, 21, 20, 10, 15]","[3, 14, 28, 23, 29, 25]",0.6193
1141,"[13, 7, 23, 26, 10]","[6, 21, 27, 18, 14]","[24, 8, 9, 12, 19, 16]",0.6555
1142,"[18, 27, 23, 20, 1]","[4, 9, 28, 3, 8]","[30, 15, 19, 14, 17, 10]",0.6532
1143,"[16, 27, 20, 29, 24]","[5, 11, 14, 23, 18]","[10, 9, 26, 22, 30, 8]",0.6513
1144,"[9, 19, 21, 7, 20]","[28, 12, 24, 25, 6]","[3, 13, 1, 27, 8, 29]",0.7149
1145,"[22, 8, 15, 12, 10]","[27, 20, 26, 25, 9]","[19, 17, 4, 11, 2, 23]",0.514
1146,"[30, 19, 17, 22, 25]","[21, 14, 18, 24, 8]","[12, 27, 28, 15, 7, 3]",0.5988
1147,"[20, 2, 16, 12, 1]","[30, 21, 29, 25, 10]","[7, 4, 5, 14, 26, 28]",0.4968
1148,"[21, 12, 23, 20, 27]","[25, 30, 17, 26, 9]","[4, 19, 15, 8, 6, 10]",0.5939
1149,"[10, 6, 3, 7, 26]","[2, 21, 30, 20, 29]","[24, 11, 8, 16, 13, 1]",0.603
1150,"[5, 28, 22, 24, 4]","[27, 19, 10, 21, 3]","[9, 17, 30, 7, 6, 26]",0.6529
1151,"[2, 21, 29, 28, 20]","[19, 7, 3, 15, 23]","[25, 26, 22, 8, 30, 17]",0.6916
1152,"[2, 15, 24, 25, 22]","[27, 28, 21, 8, 17]","[29, 4, 11, 19, 12, 26]",0.609
1153,"[30, 3, 7, 19, 26]","[9, 16, 5, 12, 20]","[27, 15, 23, 13, 2, 4]",0.6998
1154,"[24, 12, 30, 13, 7]","[14, 16, 25, 1, 28]","[17, 10, 2, 26, 20, 9]",0.614
1155,"[9, 25, 6, 15, 29]","[12, 1, 22, 13, 30]","[4, 11, 3, 8, 2, 14]",0.6076
1156,"[30, 18, 21, 9, 6]","[22, 17, 8, 23, 14]","[28, 25, 24, 5, 13, 27]",0.6018
1157,"[7, 24, 5, 23, 6]","[8, 27, 17, 16, 20]","[22, 19, 29, 9, 4, 18]",0.6633
1158,"[21, 3, 10, 2, 12]","[27, 15, 14, 1, 26]","[28, 7, 25, 18, 19, 8]",0.6115
1159,"[18, 22, 5, 7, 24]","[25, 13, 30, 14, 15]","[3, 29, 12, 20, 17, 28]",0.5271
1160,"[3, 1, 16, 18, 28]","[12, 4, 30, 7, 22]","[26, 6, 10, 8, 27, 5]",0.6308
1161,"[19, 12, 9, 3, 18]","[10, 16, 20, 23, 28]","[5, 8, 6, 11, 1, 15]",0.5243
1162,"[30, 22, 17, 20, 29]","[1, 9, 14, 28, 13]","[15, 11, 27, 2, 18, 3]",0.6026
1163,"[8, 10, 22, 21, 3]","[29, 30, 20, 5, 18]","[17, 27, 12, 13, 15, 6]",0.6866
1164,"[13, 18, 8, 25, 27]","[26, 24, 6, 30, 7]","[21, 3, 19, 16, 17, 2]",0.594
1165,"[12, 11, 6, 28, 29]","[14, 26, 13, 21, 2]","[27, 25, 17, 19, 24, 10]",0.5882
1166,"[19, 30, 26, 12, 15]","[24, 6, 11, 18, 20]","[9, 27, 25, 16, 14, 10]",0.5741
1167,"[2, 12, 13, 11, 26]","[27, 7, 18, 21, 19]","[10, 6, 17, 25, 16, 20]",0.5841
1168,"[26, 15, 23, 1, 3]","[20, 8, 18, 12, 7]","[5, 14, 4, 30, 6, 27]",0.543
1169,"[15, 4, 20, 2, 5]","[16, 26, 21, 3, 24]","[22, 12, 1, 10, 30, 7]",0.5929
1170,"[18, 8, 11, 1, 19]","[20, 24, 28, 23, 5]","[13, 14, 6, 29, 25, 10]",0.6265
1171,"[7, 19, 22, 12, 29]","[13, 24, 5, 8, 26]","[21, 30, 15, 14, 3, 18]",0.7397
1172,"[7, 26, 5, 15, 8]","[16, 9, 29, 30, 18]","[3, 11, 10, 19, 20, 23]",0.5511
1173,"[1, 26, 23, 2, 5]","[4, 20, 25, 13, 6]","[3, 8, 15, 12, 21, 16]",0.6596
1174,"[2, 25, 12, 9, 13]","[28, 18, 7, 6, 26]","[4, 10, 23, 11, 19, 1]",0.514
1175,"[18, 23, 13, 24, 9]","[30, 25, 16, 6, 11]","[4, 5, 7, 19, 17, 8]",0.5195
1176,"[28, 27, 4, 22, 20]","[30, 1, 6, 14, 26]","[9, 13, 8, 18, 15, 21]",0.6722
1177,"[23, 13, 18, 17, 30]","[22, 12, 9, 20, 26]","[7, 11, 15, 19, 29, 4]",0.6168
1178,"[26, 10, 15, 24, 7]","[12, 14, 23, 18, 29]","[4, 17, 27, 13, 5, 20]",0.6021
1179,"[16, 12, 11, 21, 6]","[30, 27, 9, 20, 4]","[3, 25, 24, 10, 26, 1]",0.6209
1180,"[14, 16, 19, 30, 24]","[29, 2, 28, 7, 9]","[15, 20, 3, 4, 21, 1]",0.5831
1181,"[7, 10, 21, 23, 8]","[18, 26, 20, 1, 28]","[19, 25, 11, 6, 16, 22]",0.6289
1182,"[19, 13, 7, 22, 2]","[15, 12, 3, 14, 9]","[24, 26, 17, 18, 20, 29]",0.5708
1183,"[28, 3, 16, 24, 22]","[11, 4, 9, 14, 26]","[29, 8, 2, 10, 7, 6]",0.7119
1184,"[12, 27, 9, 14, 26]","[6, 10, 11, 16, 30]","[1, 25, 19, 17, 2, 20]",0.6738
1185,"[19, 1, 20, 26, 7]","[28, 2, 4, 16, 23]","[22, 8, 15, 27, 13, 25]",0.5411
1186,"[5, 4, 11, 10, 1]","[23, 7, 18, 17, 19]","[15, 28, 12, 2, 9, 3]",0.6554
1187,"[13, 8, 30, 10, 28]","[17, 16, 9, 1, 29]","[24, 12, 5, 7, 26, 18]",0.6638
1188,"[30, 10, 25, 2, 7]","[17, 11, 1, 22, 15]","[23, 5, 29, 4, 28, 26]",0.554
1189,"[8, 3, 16, 28, 25]","[1, 4, 15, 21, 7]","[11, 26, 23, 29, 22, 9]",0.5258
1190,"[15, 5, 17, 22, 8]","[25, 3, 16, 26, 10]","[6, 18, 21, 1, 23, 30]",0.5141
1191,"[14, 26, 27, 30, 6]","[25, 9, 22, 16, 10]","[4, 15, 1, 21, 24, 7]",0.5207
1192,"[10, 12, 29, 20, 19]","[26, 22, 17, 13, 11]","[23, 7, 27, 14, 21, 6]",0.5984
1193,"[23, 30, 25, 21, 2]","[28, 11, 19, 1, 22]","[18, 9, 29, 7, 14, 6]",0.5114
1194,"[7, 10, 29, 1, 24]","[13, 5, 23, 4, 20]","[15, 28, 22, 18, 14, 11]",0.6385
1195,"[3, 12, 18, 8, 14]","[2, 25, 5, 24, 21]","[11, 7, 1, 13, 30, 28]",0.5599
1196,"[27, 18, 6, 29, 16]","[3, 14, 1, 26, 15]","[4, 25, 7, 20, 24, 11]",0.5515
1197,"[16, 21, 9, 17, 7]","[4, 25, 8, 20, 19]","[3, 24, 30, 14, 6, 18]",0.6856
1198,"[23, 25, 22, 1, 17]","[27, 20, 29, 12, 15]","[5, 4, 18, 8, 21, 9]",0.562
1199,"[19, 25, 7, 12, 24]","[4, 27, 21, 11, 3]","[2, 20, 6, 30, 15, 28]",0.7207
1200,"[25, 27, 3, 9, 29]","[16, 12, 7, 17, 30]","[13, 1, 6, 20, 23, 2]",0.7197
1201,"[5, 29, 12, 6, 20]","[1, 7, 23, 21, 22]","[28, 8, 30, 3, 18, 10]",0.5749
1202,"[10, 13, 3, 1, 28]","[19, 16, 22, 18, 24]","[26, 9, 7, 14, 15, 20]",0.6352
1203,"[22, 24, 8, 2, 4]","[6, 7, 25, 15, 21]","[26, 20, 9, 30, 14, 23]",0.4921
1204,"[20, 6, 8, 1, 19]","[28, 7, 2, 23, 30]","[22, 4, 16, 15, 26, 27]",0.6185
1205,"[20, 4, 12, 1, 13]","[28, 15, 30, 25, 17]","[29, 26, 8, 6, 14, 9]",0.6679
1206,"[16, 4, 29, 19, 25]","[23, 27, 28, 12, 15]","[6, 21, 5, 20, 24, 9]",0.5586
1207,"[16, 18, 19, 30, 2]","[28, 15, 26, 27, 7]","[13, 21, 20, 11, 3, 12]",0.6719
1208,"[3, 7, 1, 26, 29]","[28, 25, 11, 8, 10]","[22, 20, 9, 12, 5, 21]",0.5176
1209,"[10, 16, 29, 1, 13]","[4, 20, 22, 26, 8]","[19, 12, 17, 2, 28, 18]",0.6596
1210,"[26, 2, 14, 13, 16]","[15, 7, 5, 27, 21]","[12, 4, 24, 1, 18, 23]",0.5611
1211,"[19, 6, 5, 11, 29]","[12, 20, 24, 14, 15]","[1, 13, 25, 28, 8, 16]",0.7329
1212,"[6, 26, 5, 8, 24]","[13, 1, 12, 2, 25]","[7, 29, 10, 21, 27, 19]",0.6811
1213,"[30, 29, 13, 5, 14]","[12, 18, 21, 20, 6]","[4, 7, 10, 28, 15, 16]",0.5984
1214,"[12, 7, 30, 8, 4]","[25, 13, 11, 19, 16]","[5, 6, 20, 1, 22, 18]",0.5598
1215,"[6, 14, 13, 29, 17]","[10, 16, 12, 28, 19]","[25, 20, 9, 30, 2, 27]",0.7088
1216,"[13, 17, 23, 1, 28]","[7, 26, 9, 12, 5]","[2, 29, 10, 30, 16, 20]",0.7204
1217,"[29, 26, 4, 16, 21]","[9, 24, 20, 15, 7]","[17, 5, 18, 14, 30, 2]",0.5755
1218,"[24, 26, 2, 11, 22]","[16, 27, 7, 28, 4]","[3, 19, 25, 20, 10, 6]",0.6303
1219,"[14, 9, 24, 10, 23]","[3, 20, 21, 4, 30]","[19, 2, 16, 6, 7, 1]",0.6101
1220,"[28, 5, 9, 25, 20]","[1, 11, 19, 15, 30]","[16, 7, 14, 10, 18, 8]",0.6384
1221,"[10, 11, 7, 5, 13]","[12, 3, 15, 29, 6]","[24, 16, 28, 22, 26, 9]",0.5104
1222,"[3, 17, 20, 23, 10]","[8, 7, 2, 27, 19]","[4, 29, 16, 9, 21, 26]",0.6965
1223,"[6, 5, 18, 25, 28]","[17, 27, 29, 7, 20]","[9, 19, 12, 15, 16, 2]",0.5704
1224,"[7, 5, 11, 14, 4]","[3, 12, 9, 23, 19]","[6, 18, 24, 29, 13, 20]",0.6347
1225,"[20, 19, 13, 10, 23]","[18, 4, 22, 28, 12]","[5, 8, 7, 21, 9, 2]",0.5036
1226,"[15, 2, 28, 21, 10]","[1, 8, 19, 27, 22]","[3, 11, 24, 16, 6, 17]",0.6498
1227,"[18, 5, 29, 16, 1]","[6, 3, 8, 28, 14]","[23, 2, 19, 21, 22, 25]",0.6699
1228,"[15, 2, 13, 27, 1]","[5, 12, 22, 25, 29]","[28, 7, 16, 8, 23, 9]",0.6651
1229,"[4, 10, 19, 23, 22]","[27, 8, 28, 2, 29]","[6, 12, 24, 3, 25, 1]",0.615
1230,"[23, 14, 16, 20, 8]","[9, 1, 18, 17, 3]","[10, 4, 13, 26, 7, 24]",0.6768
1231,"[2, 3, 18, 21, 5]","[28, 12, 1, 7, 4]","[26, 20, 29, 15, 19, 16]",0.5169
1232,"[16, 3, 15, 26, 28]","[1, 20, 5, 6, 29]","[17, 4, 9, 8, 30, 7]",0.5171
1233,"[5, 6, 12, 22, 3]","[10, 9, 15, 21, 24]","[17, 30, 25, 11, 14, 20]",0.6184
1234,"[30, 23, 6, 11, 5]","[18, 8, 12, 25, 3]","[1, 27, 20, 4, 24, 29]",0.5745
1235,"[1, 27, 21, 20, 15]","[24, 26, 28, 4, 7]","[13, 10, 8, 2, 18, 25]",0.6624
1236,"[20, 23, 4, 1, 18]","[8, 7, 3, 2, 9]","[24, 17, 15, 22, 25, 28]",0.6865
1237,"[24, 15, 16, 8, 12]","[28, 20, 26, 22, 5]","[9, 18, 11, 29, 3, 7]",0.5911
1238,"[12, 2, 19, 22, 1]","[7, 9, 18, 24, 21]","[14, 13, 29, 3, 17, 16]",0.5483
1239,"[4, 3, 10, 6, 27]","[1, 22, 7, 28, 18]","[30, 12, 17, 8, 24, 19]",0.6262
1240,"[14, 30, 15, 20, 28]","[24, 12, 16, 18, 4]","[8, 5, 3, 21, 13, 2]",0.629
1241,"[29, 15, 4, 30, 27]","[6, 26, 7, 10, 21]","[16, 11, 13, 19, 25, 23]",0.5364
1242,"[16, 26, 13, 18, 2]","[12, 6, 30, 27, 14]","[24, 11, 25, 1, 29, 19]",0.5415
1243,"[20, 2, 7, 25, 17]","[10, 19, 1, 14, 11]","[8, 22, 15, 18, 3, 29]",0.5825
1244,"[27, 30, 24, 8, 9]","[7, 4, 11, 16, 3]","[25, 10, 28, 13, 5, 17]",0.6251
1245,"[19, 15, 13, 6, 14]","[3, 24, 27, 21, 25]","[8, 30, 9, 5, 2, 28]",0.6929
1246,"[14, 18, 30, 6, 7]","[24, 21, 13, 27, 17]","[22, 26, 4, 11, 29, 20]",0.6862
1247,"[12, 19, 7, 20, 28]","[17, 27, 26, 22, 13]","[9, 23, 1, 11, 24, 6]",0.6042
1248,"[28, 5, 4, 22, 11]","[7, 23, 18, 20, 26]","[24, 15, 30, 10, 1, 17]",0.6325
1249,"[8, 30, 16, 17, 3]","[19, 18, 10, 15, 9]","[12, 23, 20, 24, 6, 21]",0.5426
1250,"[15, 18, 19, 6, 13]","[11, 29, 25, 28, 9]","[1, 7, 14, 27, 4, 26]",0.585
1251,"[6, 2, 15, 1, 13]","[26, 18, 7, 3, 4]","[30, 24, 25, 16, 23, 9]",0.6857
1252,"[25, 14, 24, 23, 9]","[5, 1, 26, 12, 22]","[30, 13, 10, 8, 20, 18]",0.5384
1253,"[3, 9, 10, 2, 30]","[7, 18, 28, 25, 17]","[12, 19, 27, 1, 26, 20]",0.5529
1254,"[11, 28, 12, 19, 16]","[25, 26, 23, 4, 27]","[20, 22, 1, 17, 30, 8]",0.704
1255,"[11, 27, 14, 5, 9]","[13, 25, 1, 4, 12]","[26, 29, 19, 18, 15, 20]",0.5698
1256,"[4, 13, 22, 20, 2]","[11, 7, 5, 9, 30]","[29, 21, 18, 8, 17, 19]",0.5339
1257,"[20, 28, 2, 30, 14]","[24, 27, 18, 21, 22]","[15, 8, 4, 11, 3, 12]",0.5384
1258,"[2, 25, 30, 21, 23]","[1, 4, 10, 17, 15]","[9, 8, 16, 24, 5, 11]",0.576
1259,"[29, 26, 8, 7, 20]","[11, 19, 15, 22, 14]","[5, 30, 17, 13, 2, 1]",0.6077
1260,"[27, 23, 2, 18, 16]","[17, 8, 1, 13, 26]","[28, 6, 25, 5, 3, 30]",0.5796
1261,"[11, 26, 2, 30, 18]","[14, 22, 6, 29, 8]","[20, 3, 16, 23, 21, 9]",0.6912
1262,"[23, 15, 19, 13, 28]","[18, 2, 6, 20, 10]","[16, 22, 11, 21, 30, 14]",0.583
1263,"[18, 6, 4, 2, 25]","[16, 8, 15, 5, 14]","[17, 3, 22, 19, 23, 9]",0.7075
1264,"[4, 2, 16, 1, 27]","[10, 19, 28, 6, 9]","[21, 20, 12, 22, 25, 3]",0.6902
1265,"[28, 13, 4, 23, 30]","[12, 26, 18, 24, 19]","[16, 21, 17, 6, 25, 2]",0.5147
1266,"[5, 29, 15, 27, 7]","[8, 30, 13, 1, 20]","[12, 6, 28, 14, 21, 26]",0.6261
1267,"[25, 20, 6, 28, 3]","[8, 12, 17, 19, 24]","[15, 5, 2, 26, 1, 18]",0.6876
1268,"[12, 26, 14, 22, 9]","[2, 29, 11, 16, 25]","[27, 30, 10, 4, 19, 17]",0.5369
